"Rk_name","Rk_Pk","Rk_Pk_url","Rk_Tm","Rk_Tm_url","Rk_Player","Rk_Player_url","Rk_College","Rk_College_url","Rk_Yrs","Rk_G","Rk_MP","Rk_PTS","Rk_TRB","Rk_AST","Rk_FG","Rk__3P","Rk_FT","Rk_WS","Rk_WS_48","Rk_BPM","Rk_VOBR"
"30","30","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=30&pick_overall_max=30&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","SAS","https://www.basketball-reference.com/teams/SAS/draft.html","Kyle Anderson","https://www.basketball-reference.com/players/a/anderky01.html","UCLA","https://www.basketball-reference.com/friv/draft.fcgi?college=ucla","6","367","19.7","5.4","4.0","2.0",".488",".311",".699","17.9",".119","1.4","6.3"
"31","31","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=31&pick_overall_max=31&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIL","https://www.basketball-reference.com/teams/MIL/draft.html","Damien Inglis","https://www.basketball-reference.com/players/i/inglida01.html","","","1","20","7.8","1.8","1.6","0.5",".351",".231",".875","-0.1","-.024","-5.6","-0.1"
"32","32","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=32&pick_overall_max=32&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","K.J. McDaniels","https://www.basketball-reference.com/players/m/mcdankj01.html","Clemson","https://www.basketball-reference.com/friv/draft.fcgi?college=clemson","3","148","14.1","5.3","2.2","0.6",".412",".290",".776","1.3",".030","-2.8","-0.4"
"33","33","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=33&pick_overall_max=33&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","CLE","https://www.basketball-reference.com/teams/CLE/draft.html","Joe Harris","https://www.basketball-reference.com/players/h/harrijo01.html","Virginia","https://www.basketball-reference.com/friv/draft.fcgi?college=virginia","6","331","24.3","10.4","3.1","1.6",".479",".426",".779","14.7",".088","-0.7","2.5"
"34","34","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=34&pick_overall_max=34&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","NYK","https://www.basketball-reference.com/teams/NYK/draft.html","Cleanthony Early","https://www.basketball-reference.com/players/e/earlycl01.html","Wichita State","https://www.basketball-reference.com/friv/draft.fcgi?college=wichitast","2","56","14.3","4.3","2.2","0.8",".346",".263",".750","-0.6","-.039","-5.9","-0.8"
"35","35","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=35&pick_overall_max=35&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","UTA","https://www.basketball-reference.com/teams/UTA/draft.html","Jarnell Stokes","https://www.basketball-reference.com/players/s/stokeja01.html","Tennessee","https://www.basketball-reference.com/friv/draft.fcgi?college=tennessee","3","28","5.4","2.4","1.4","0.3",".581","",".531","0.6",".202","0.1","0.1"
"36","36","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=36&pick_overall_max=36&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIL","https://www.basketball-reference.com/teams/MIL/draft.html","Johnny O'Bryant","https://www.basketball-reference.com/players/o/obryajo01.html","LSU","https://www.basketball-reference.com/friv/draft.fcgi?college=lsu","4","147","11.5","3.5","2.4","0.5",".402",".360",".663","0.2",".006","-6.2","-1.8"
"37","37","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=37&pick_overall_max=37&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","TOR","https://www.basketball-reference.com/teams/TOR/draft.html","DeAndre Daniels","https://www.basketball-reference.com/players/d/daniede01.html","UConn","https://www.basketball-reference.com/friv/draft.fcgi?college=uconn","","","","","","","","","","","","",""
"38","38","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=38&pick_overall_max=38&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","DET","https://www.basketball-reference.com/teams/DET/draft.html","Spencer Dinwiddie","https://www.basketball-reference.com/players/d/dinwisp01.html","Colorado","https://www.basketball-reference.com/friv/draft.fcgi?college=colorado","6","317","25.7","12.9","2.8","5.0",".410",".318",".793","18.3",".108","0.4","4.8"
"39","39","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=39&pick_overall_max=39&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","Jerami Grant","https://www.basketball-reference.com/players/g/grantje01.html","Syracuse","https://www.basketball-reference.com/friv/draft.fcgi?college=syracuse","6","454","24.5","9.3","3.9","1.1",".465",".347",".669","22.6",".098","-0.9","3.1"
"40","40","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=40&pick_overall_max=40&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIN","https://www.basketball-reference.com/teams/MIN/draft.html","Glenn Robinson","https://www.basketball-reference.com/players/r/robingl02.html","Michigan","https://www.basketball-reference.com/friv/draft.fcgi?college=michigan","6","281","17.5","6.0","2.6","0.8",".459",".373",".768","7.6",".074","-1.5","0.6"
"41","41","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=41&pick_overall_max=41&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","DEN","https://www.basketball-reference.com/teams/DEN/draft.html","Nikola Jokić","https://www.basketball-reference.com/players/j/jokicni01.html","","","5","381","29.0","17.0","9.6","5.5",".524",".338",".826","48.7",".212","7.1","25.4"
"42","42","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=42&pick_overall_max=42&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","HOU","https://www.basketball-reference.com/teams/HOU/draft.html","Nick Johnson","https://www.basketball-reference.com/players/j/johnsni01.html","Arizona","https://www.basketball-reference.com/friv/draft.fcgi?college=arizona","1","28","9.4","2.6","1.4","0.4",".347",".238",".680","-0.1","-.020","-6.5","-0.3"
"43","43","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=43&pick_overall_max=43&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","ATL","https://www.basketball-reference.com/teams/ATL/draft.html","Edy Tavares","https://www.basketball-reference.com/players/t/tavarwa01.html","","","2","13","7.8","2.5","2.5","0.3",".625","",".273","0.2",".118","-0.4","0.0"
"44","44","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=44&pick_overall_max=44&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIN","https://www.basketball-reference.com/teams/MIN/draft.html","Markel Brown","https://www.basketball-reference.com/players/b/brownma02.html","Oklahoma State","https://www.basketball-reference.com/friv/draft.fcgi?college=okstate","3","113","15.9","5.2","2.1","1.2",".380",".295",".781","1.1",".029","-2.9","-0.4"
"45","45","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=45&pick_overall_max=45&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","CHH","https://www.basketball-reference.com/teams/CHA/draft.html","Dwight Powell","https://www.basketball-reference.com/players/p/poweldw01.html","Stanford","https://www.basketball-reference.com/friv/draft.fcgi?college=stanford","6","371","18.7","7.7","4.6","1.0",".563",".293",".739","26.0",".179","1.4","6.1"
"46","46","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=46&pick_overall_max=46&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","WAS","https://www.basketball-reference.com/teams/WAS/draft.html","Jordan Clarkson","https://www.basketball-reference.com/players/c/clarkjo01.html","Missouri","https://www.basketball-reference.com/friv/draft.fcgi?college=missouri","6","453","27.0","14.8","3.1","2.6",".446",".342",".818","13.9",".055","-0.7","3.9"
"47","47","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=47&pick_overall_max=47&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","Russ Smith","https://www.basketball-reference.com/players/s/smithru01.html","Louisville","https://www.basketball-reference.com/friv/draft.fcgi?college=louisville","2","27","4.9","2.0","0.6","0.7",".319",".188",".769","-0.2","-.068","-5.1","-0.1"
"48","48","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=48&pick_overall_max=48&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIL","https://www.basketball-reference.com/teams/MIL/draft.html","Lamar Patterson","https://www.basketball-reference.com/players/p/pattela01.html","Pitt","https://www.basketball-reference.com/friv/draft.fcgi?college=pitt","2","40","10.9","2.3","1.4","1.1",".326",".236",".720","0.1",".006","-5.7","-0.4"
"49","49","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=49&pick_overall_max=49&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","CHI","https://www.basketball-reference.com/teams/CHI/draft.html","Cameron Bairstow","https://www.basketball-reference.com/players/b/bairsca01.html","New Mexico","https://www.basketball-reference.com/friv/draft.fcgi?college=nmexico","2","36","4.6","1.2","1.0","0.2",".296",".200",".846","-0.1","-.021","-8.1","-0.3"
"50","50","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=50&pick_overall_max=50&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHO","https://www.basketball-reference.com/teams/PHO/draft.html","Alec Brown","https://www.basketball-reference.com/players/b/brownal01.html","Green Bay","https://www.basketball-reference.com/friv/draft.fcgi?college=wiscgb","","","","","","","","","","","","",""
"51","51","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=51&pick_overall_max=51&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","NYK","https://www.basketball-reference.com/teams/NYK/draft.html","Thanasis Antetokounmpo","https://www.basketball-reference.com/players/a/antetth01.html","","","2","22","6.1","2.8","1.1","0.7",".519",".000",".412","0.2",".080","-2.8","0.0"
"52","52","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=52&pick_overall_max=52&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","Vasilije Micić","https://www.basketball-reference.com/players/m/micicva01.html","","","","","","","","","","","","","","",""
"53","53","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=53&pick_overall_max=53&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIN","https://www.basketball-reference.com/teams/MIN/draft.html","Alessandro Gentile","https://www.basketball-reference.com/players/g/gential01.html","","","","","","","","","","","","","","",""
"54","54","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=54&pick_overall_max=54&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","Nemanja Dangubić","https://www.basketball-reference.com/players/d/dangune01.html","","","","","","","","","","","","","","",""
"55","55","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=55&pick_overall_max=55&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIA","https://www.basketball-reference.com/teams/MIA/draft.html","Semaj Christon","https://www.basketball-reference.com/players/c/chrisse01.html","Xavier","https://www.basketball-reference.com/friv/draft.fcgi?college=xavier","1","64","15.2","2.9","1.4","2.0",".345",".190",".548","0.1",".006","-5.1","-0.8"
"56","56","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=56&pick_overall_max=56&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","DEN","https://www.basketball-reference.com/teams/DEN/draft.html","Devyn Marble","https://www.basketball-reference.com/players/m/marblde01.html","Iowa","https://www.basketball-reference.com/friv/draft.fcgi?college=iowa","2","44","10.4","2.2","1.6","0.7",".304",".222",".375","-0.3","-.028","-5.5","-0.4"
"57","57","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=57&pick_overall_max=57&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","IND","https://www.basketball-reference.com/teams/IND/draft.html","Louis Labeyrie","https://www.basketball-reference.com/players/l/labeylo01.html","","","","","","","","","","","","","","",""
"58","58","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=58&pick_overall_max=58&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","SAS","https://www.basketball-reference.com/teams/SAS/draft.html","Jordan McRae","https://www.basketball-reference.com/players/m/mcraejo01.html","Tennessee","https://www.basketball-reference.com/friv/draft.fcgi?college=tennessee","4","123","13.8","6.9","1.8","1.4",".417",".355",".772","1.7",".048","-2.1","0.0"
"59","59","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=59&pick_overall_max=59&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","TOR","https://www.basketball-reference.com/teams/TOR/draft.html","Xavier Thames","https://www.basketball-reference.com/players/t/thamexa01.html","San Diego State","https://www.basketball-reference.com/friv/draft.fcgi?college=sandiegost","","","","","","","","","","","","",""
"60","60","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=60&pick_overall_max=60&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","SAS","https://www.basketball-reference.com/teams/SAS/draft.html","Cory Jefferson","https://www.basketball-reference.com/players/j/jeffeco01.html","Baylor","https://www.basketball-reference.com/friv/draft.fcgi?college=baylor","2","58","10.0","3.5","2.8","0.3",".444",".125",".583","0.9",".071","-3.3","-0.2"